x	u1	f1	u2	f2	u	f
1.0	1.0	-0.9999999999999997	1.0	-0.9999999999999997	1.0	-0.9999999999999997
0.9223681599999999	1.0	-0.9999999999999998	1.0	-0.9999999999999998	1.0	-0.9999999999999998
0.96118408	1.0	-1.0	1.0	-1.0	1.0	-1.0
0.8493465599999999	0.9999999999999998	-0.9999999999999998	0.9999999999999998	-0.9999999999999998	0.9999999999999998	-0.9999999999999998
0.8858573599999999	1.0	-1.0	1.0	-1.0	1.0	-1.0
0.7807489599999998	0.9999999999999997	-0.9999999999999998	0.9999999999999997	-0.9999999999999998	0.9999999999999997	-0.9999999999999998
0.8150477599999999	1.0000000000000002	-1.0	1.0000000000000002	-1.0	1.0000000000000002	-1.0
0.7163929600000001	0.9999999999999997	-1.0	0.9999999999999997	-1.0	0.9999999999999997	-1.0
0.7485709599999999	1.0000000000000002	-1.0	1.0000000000000002	-1.0	1.0000000000000002	-1.0
0.6561	1.0	-0.9999999999999997	1.0	-0.9999999999999997	1.0	-0.9999999999999997
0.6862464800000001	0.9999999999999999	-0.9999999999999998	0.9999999999999999	-0.9999999999999998	0.9999999999999999	-0.9999999999999998
0.59969536	0.9999999999999997	-1.0	0.9999999999999997	-1.0	0.9999999999999997	-1.0
0.62789768	1.0000000000000002	-1.0000000000000002	1.0000000000000002	-1.0000000000000002	1.0000000000000002	-1.0000000000000002
0.54700816	1.0000000000000002	-0.9999999999999999	1.0000000000000002	-0.9999999999999999	1.0000000000000002	-0.9999999999999999
0.57335176	1.0	-1.0	1.0	-1.0	1.0	-1.0
0.49787135999999993	1.0000000000000002	-1.0	1.0000000000000002	-1.0	1.0000000000000002	-1.0
0.5224397599999999	1.0	-0.9999999999999998	1.0	-0.9999999999999998	1.0	-0.9999999999999998
0.4521217599999999	1.0	-1.0	1.0	-1.0	1.0	-1.0
0.4749965599999999	0.9999999999999998	-0.9999999999999998	0.9999999999999998	-0.9999999999999998	0.9999999999999998	-0.9999999999999998
0.4096000000000001	0.9999999999999999	-1.0	0.9999999999999999	-1.0	0.9999999999999999	-1.0
0.43086088	0.9999999999999998	-0.9999999999999994	0.9999999999999998	-0.9999999999999994	0.9999999999999998	-0.9999999999999994
0.3701505600000001	0.9999999999999996	-0.9999999999999998	0.9999999999999996	-0.9999999999999998	0.9999999999999996	-0.9999999999999996
0.38987528000000005	1.0	-1.0	1.0	-1.0	1.0	-1.0
0.33362176	0.9999999999999996	-1.0	0.9999999999999996	-1.0	0.9999999999999996	-0.9999999999999994
0.35188616000000006	1.0000000000000002	-1.0000000000000002	1.0000000000000002	-1.0000000000000002	1.0000000000000002	-1.0000000000000002
0.29986576	1.0000000000000002	-1.0000000000000002	1.0000000000000002	-1.0000000000000002	1.0000000000000002	-0.9999999999999973
0.31674376	0.9999999999999997	-0.9999999999999998	0.9999999999999997	-0.9999999999999998	0.9999999999999997	-1.0
0.26873855999999996	1.0000000000000004	-1.0000000000000016	1.0000000000000004	-1.0000000000000016	1.0000000000000004	-0.9999999999999826
0.28430215999999997	1.0	-0.9999999999999998	1.0	-0.9999999999999998	1.0	-1.0000000000000029
0.24009999999999995	1.0000000000000002	-1.0000000000000004	1.0000000000000002	-1.0000000000000002	1.0000000000000002	-0.9999999999998853
0.25441927999999997	0.9999999999999997	-0.9999999999999997	0.9999999999999997	-0.9999999999999997	0.9999999999999997	-1.0000000000000164
0.21381376000000007	1.0	-0.9999999999999999	1.0	-0.9999999999999976	1.0	-0.9999999999992982
0.22695688000000003	0.9999999999999996	-0.9999999999999993	0.9999999999999996	-0.9999999999999996	0.9999999999999996	-1.0000000000001015
0.18974736000000003	0.9999999999999998	-0.9999999999999994	0.9999999999999998	-0.9999999999999841	0.999999999999999	-0.9999999999957232
0.20178056000000005	0.9999999999999998	-0.9999999999999996	0.9999999999999998	-1.0000000000000018	0.9999999999999998	-1.0000000000006224
0.16777216	0.9999999999999998	-1.0000000000000002	0.9999999999999998	-0.999999999999907	0.9999999999999716	-0.9999999999739086
0.17875976000000002	1.0000000000000002	-1.0000000000000002	1.0000000000000002	-1.0000000000000138	1.0000000000000002	-1.0000000000038007
0.14776335999999998	0.9999999999999999	-0.9999999999999998	0.9999999999999999	-0.999999999999429	0.9999999999996549	-0.9999999998408199
0.15776775999999998	1.0	-0.9999999999999997	1.0	-1.0000000000000826	0.9999999999999948	-1.0000000000232132
0.1296	1.0	-0.9999999999999993	1.0	-0.9999999999965028	0.99999999999494	-0.9999999990302354
0.13868167999999997	1.0	-1.0	1.0	-1.0000000000005085	0.9999999999997998	-1.0000000001419862
0.11316495999999997	1.0	-0.9999999999999934	0.9999999999999986	-0.9999999999785448	0.9999999999175835	-0.9999999941314226
0.12138247999999999	0.9999999999999997	-1.0000000000000004	0.9999999999999997	-1.000000000003119	0.9999999999940344	-1.0000000008695162
0.09834496000000004	1.0000000000000004	-0.9999999999999608	0.9999999999999891	-0.9999999998681555	0.9999999985808651	-0.9999999652439334
0.10575496000000001	1.0	-1.0000000000000056	1.0	-1.0000000000191651	0.9999999998431959	-1.0000000053395928
0.08503056000000002	1.0	-0.9999999999997538	0.9999999999998765	-0.9999999991883621	0.9999999763639209	-0.9999998056962865
0.09168776000000003	0.9999999999999996	-1.0000000000000355	1.0000000000000056	-1.000000000117981	0.9999999963088942	-1.0000000330206418
0.07311616000000001	0.9999999999999999	-0.9999999999984854	0.9999999999984154	-0.9999999949950745	0.9999996645563535	-0.999999036636834
0.07907336000000001	1.0000000000000002	-1.000000000000221	1.0000000000000377	-1.0000000007277188	0.9999999290970664	-1.000000204754501
