x	y	u	fx	fy
0.0	0.5	0.0	-1.000469809200846	1.1528539552614115e-05
0.0	0.49	0.0	-0.9992519474743429	4.458549428749154e-05
0.0004	0.5	0.07176062762645422	-0.999086652246074	-0.0001409167372892094
0.0002	0.495	0.03651028464043078	-0.9996766884360238	-2.6656633772515493e-05
0.0002	0.5	0.036552475185455194	-1.0010839535047962	-3.997273210567709e-05
0.0	0.495	0.0	-0.9990422018952507	-1.831603614798668e-05
0.0	0.48	0.0	-0.9984425334855849	8.962643511013713e-05
0.0004	0.49	0.07178810016474488	-0.9972712213220767	5.1640890970382535e-05
0.0002	0.485	0.03650925060073532	-0.9999347801605125	-3.60323272666133e-05
0.0002	0.49	0.03656138161713223	-1.0018343463817876	5.530161657199723e-05
0.0	0.485	0.0	-0.9983109325585023	-4.521016525140144e-05
0.0004	0.495	0.0716864277777326	-0.9978879592330709	2.340716349956783e-05
0.0016	0.5	0.25750267781741176	-0.9965836373455974	-0.00034105008543474475
0.001	0.495	0.1697242947511084	-1.0008815116763525	-2.2281737772484373e-05
0.001	0.5	0.16992757727755206	-1.0015913117496609	-0.0003872617369136674
0.0	0.47	0.0	-0.9983518142123685	0.00011399412305896377
0.0004	0.48	0.07178408976865176	-0.996537929604187	0.0001607911835049453
0.0002	0.475	0.036508752151467386	-0.9998861749143384	-3.849958548752494e-05
0.0002	0.48	0.036559350126879116	-1.001985066630797	0.00010609792946260589
0.0	0.475	0.0	-0.9981266175971346	-5.4494891725129545e-05
0.0004	0.485	0.0716842976952509	-0.9964579309040611	-9.303224946824475e-05
0.0016	0.49	0.25761477928621546	-0.9947140561729757	-7.506458091787646e-05
0.001	0.485	0.16972080850071572	-1.001720906450171	-5.0861676940983804e-05
0.001	0.49	0.16988363145621635	-1.002489042428026	2.2204915011680492e-05
0.0016	0.495	0.25739356745625097	-0.9959901422923407	0.00016679650121138555
0.0036	0.5	0.4880338206235751	-0.9935548793105058	-0.00016384962792740718
0.0026	0.495	0.38349616945181914	-1.0021714396017818	1.5005249969425863e-05
0.0026	0.5	0.38387857027054484	-1.0027276737609945	-0.0008274709493919424
0.0	0.46	0.0	-0.9983374875557248	0.00012190417910381175
0.0004	0.47	0.07178397173673468	-0.9964803341699334	0.0001917244097032916
0.0002	0.46499999999999997	0.03650875348838642	-0.9998839038280957	-3.944086570312128e-05
0.0002	0.47	0.036559288391852074	-1.0019677053056701	0.0001191680000177882
0.0	0.46499999999999997	0.0	-0.9981286232465905	-5.6641781863604766e-05
0.0004	0.475	0.07168332454037175	-0.9963624077676958	-0.00010907042904827926
0.0016	0.48	0.2576018132454025	-0.9941885087677161	5.6655950725817224e-05
0.001	0.475	0.16971856342630276	-1.0016473658136973	-5.561192342675551e-05
0.001	0.48	0.16987502332826923	-1.0026109628149917	0.00011792173813491206
0.0016	0.485	0.2573866369197445	-0.9940303859773031	-4.4455919564679516e-05
0.0036	0.49	0.4882842636049085	-0.9925404724246467	-0.0002029518058658954
0.0026	0.485	0.3834930583462801	-1.0036479860333518	5.847761130739421e-05
0.0026	0.49	0.3836725263158259	-1.003426437043254	-0.00014835252356313426
0.0036	0.495	0.48812954501993694	-0.9941655830164988	0.0003134226785680291
0.0064	0.5	0.6955828328072504	-0.9917118717475646	0.0003110177750125947
0.005	0.495	0.605585779063674	-1.002674241504924	-7.452843363479162e-05
0.005	0.5	0.6060031470367148	-1.0039064300723282	-0.0007911240735862919
0.0	0.45	0.0	-0.9983352241993263	0.00012372887257743384
0.0004	0.46	0.07178402065740241	-0.9964721766653336	0.0001977974243831677
0.0002	0.455	0.036508775496481925	-0.9998842318830787	-3.9489588546204435e-05
0.0002	0.46	0.036559313191567584	-1.001964397711698	0.00012221329728147803
0.0	0.455	0.0	-0.9981302511731451	-5.738319298255313e-05
0.0004	0.46499999999999997	0.07168332734170865	-0.9963650478111399	-0.00011125699480307856
0.0016	0.47	0.25760132154094406	-0.9941527320191004	8.055205162480274e-05
0.001	0.46499999999999997	0.16971857342399402	-1.0016470078713158	-5.60361160815249e-05
0.001	0.47	0.16987468923732138	-1.0025945616953365	0.00013094529557498193
0.0016	0.475	0.2573833379326917	-0.9940085873304337	-4.784258311079687e-05
0.0036	0.48	0.48826383147740565	-0.992300595419262	-9.265217937588881e-05
0.0026	0.475	0.3834884612952622	-1.0035829322995753	5.892920842509187e-05
0.0026	0.48	0.38365604027052846	-1.0034667669136268	-6.5558172729474e-05
0.0036	0.485	0.4881232232180628	-0.9920796177637462	3.0117322413394146e-05
0.0064	0.49	0.6959726440040909	-0.9919700468944737	-0.0001981331794576489
0.005	0.485	0.6055910539590048	-1.0045032708597927	0.00010340688426660977
0.005	0.49	0.6056518127468743	-1.0040579925028477	-0.00019363836435629507
0.0064	0.495	0.6959765883590331	-0.9935731288431312	0.00037221678728125216
0.010000000000000002	0.5	0.8438392941100389	-0.991978361319323	0.000624605787982378
0.0082	0.495	0.7825900650039777	-1.0023250069378427	-0.00021056485889082188
0.0082	0.5	0.7829170731793829	-1.004253630912282	-0.00039399920020667515
0.0	0.44	0.0	-0.9983349487542967	0.0001240731669403243
0.0004	0.45	0.07178405354846083	-0.9964712435347691	0.0001987932467380867
0.0002	0.445	0.036508787062510956	-0.9998844923719619	-3.9475174224790225e-05
0.0002	0.45	0.03655932994271464	-1.0019641251819114	0.0001227704465273612
0.0	0.445	0.0	-0.9981307887552356	-5.754867747324324e-05
0.0004	0.455	0.07168337056654127	-0.9963663455767476	-0.0001117253484525808
0.0016	0.46	0.25760149435601737	-0.9941491986763088	8.371682912760573e-05
