x	u	e	f	v
1.	1.0	1.0	-1.0000000000000002	-1.0
0.9801	1.0	1.0	-1.0000000000000004	-1.0
0.9604	1.0	1.0	-1.0	-1.0
0.9409	1.0000000000000002	1.0	-1.0	-1.0
0.9216	1.0000000000000002	1.0	-1.0000000000000007	-1.0
0.9025	1.0000000000000002	1.0	-1.0	-1.0
0.8836	1.0000000000000004	1.0	-1.0000000000000004	-1.0
0.8649	1.0000000000000002	1.0	-1.0000000000000004	-1.0
0.8464	1.0	1.0	-1.0000000000000002	-1.0
0.8281	0.9999999999999998	1.0	-0.9999999999999997	-1.0
0.81	0.9999999999999998	1.0	-0.9999999999999998	-1.0
0.7921	0.9999999999999999	1.0	-0.9999999999999998	-1.0
0.7744	0.9999999999999999	1.0	-1.0	-1.0
0.7569	0.9999999999999998	1.0	-0.9999999999999997	-1.0
0.7396	0.9999999999999998	1.0	-0.9999999999999998	-1.0
0.7225	0.9999999999999999	1.0	-0.9999999999999997	-1.0
0.7056	0.9999999999999998	1.0	-0.9999999999999998	-1.0
0.6889	0.9999999999999998	1.0	-0.9999999999999998	-1.0
0.6724	0.9999999999999996	1.0	-0.9999999999999996	-1.0
0.6561	0.9999999999999994	1.0	-0.9999999999999998	-1.0
0.64	0.9999999999999997	1.0	-1.0	-1.0
0.6241	0.9999999999999997	1.0	-0.9999999999999996	-1.0
0.6084	0.9999999999999997	1.0	-1.0	-1.0
0.5929	0.9999999999999997	1.0	-0.9999999999999997	-1.0
0.5776	0.9999999999999997	1.0	-0.9999999999999998	-1.0
0.5625	0.9999999999999997	1.0	-0.9999999999999999	-1.0
0.5476	0.9999999999999997	1.0	-0.9999999999999996	-1.0
0.5329	0.9999999999999998	1.0	-0.9999999999999999	-1.0
0.5184	0.9999999999999998	1.0	-0.9999999999999998	-1.0
0.5041	0.9999999999999998	1.0	-0.9999999999999997	-1.0
0.49	0.9999999999999998	1.0	-0.9999999999999999	-1.0
0.4761	0.9999999999999999	1.0	-0.9999999999999999	-1.0
0.4624	1.0	1.0	-0.9999999999999999	-1.0
0.4489	1.0000000000000002	1.0	-1.0000000000000002	-1.0
0.4356	1.0000000000000002	1.0	-1.0000000000000004	-1.0
0.4225	1.0000000000000002	1.0	-1.0000000000000007	-1.0
0.4096	1.0	1.0	-1.0000000000000002	-1.0
0.3969	1.0	1.0	-0.9999999999999997	-1.0
0.3844	1.0000000000000002	1.0	-1.0000000000000004	-1.0
0.3721	1.0000000000000002	0.9999999999999999	-1.0000000000000004	-1.0
0.36	1.0000000000000002	0.9999999999999998	-1.0000000000000007	-1.0
0.3481	1.0000000000000002	0.9999999999999992	-1.0000000000000002	-1.0
0.3364	0.9999999999999999	0.9999999999999976	-1.0000000000000004	-1.0
0.3249	0.9999999999999991	0.9999999999999922	-1.0000000000000002	-1.0
0.3136	0.9999999999999963	0.999999999999976	-1.0000000000000007	-1.0
0.3025	0.999999999999987	0.9999999999999272	-1.0000000000000016	-1.0
0.2916	0.9999999999999564	0.9999999999997833	-1.000000000000004	-1.0
0.2809	0.999999999999857	0.9999999999993681	-1.000000000000014	-1.0
0.2704	0.9999999999995423	0.9999999999981942	-1.0000000000000437	-1.0
0.2601	0.999999999998571	0.9999999999949417	-1.0000000000001321	-1.0
0.25	0.9999999999956557	0.9999999999861121	-1.0000000000003832	-1.0
0.2401	0.9999999999871393	0.9999999999626243	-1.000000000001086	-1.0
0.2304	0.9999999999629151	0.999999999901405	-1.0000000000029878	-1.0
0.2209	0.9999999998958086	0.9999999997450618	-1.0000000000080032	-1.0
0.2116	0.9999999997146902	0.9999999993538569	-1.0000000000208775	-1.0
0.2025	0.9999999992383009	0.9999999983947719	-1.0000000000530422	-1.0
0.1936	0.9999999980168368	0.9999999960910616	-1.0000000001312879	-1.0
0.1849	0.9999999949631163	0.9999999906697125	-1.0000000003166416	-1.0
0.1764	0.9999999875172878	0.9999999781704221	-1.0000000007442853	-1.0
0.1681	0.999999969806772	0.9999999499378198	-1.0000000017053565	-1.0
0.16	0.9999999287033852	0.9999998874648253	-1.0000000038094876	-1.0
0.1521	0.9999998356053255	0.9999997520403981	-1.0000000082976788	-1.0
0.1444	0.9999996297778455	0.9999994644652197	-1.0000000176254518	-1.0
0.1369	0.9999991855112589	0.9999988662728613	-1.0000000365144117	-1.0
0.1296	0.9999982491698701	0.9999976474248	-1.0000000737847865	-1.0
0.1225	0.9999963218994932	0.9999952148826079	-1.000000145437573	-1.0
0.1156	0.999992447259264	0.9999904598371269	-1.0000002796485465	-1.0
0.1089	0.9999848377310029	0.9999813562576685	-1.000000524544954	-1.0
0.1024	0.9999702370275233	0.9999642871503583	-1.0000009598053268	-1.0
0.0961	0.9999428637827631	0.9999329451756972	-1.0000017131549446	-1.0
0.09	0.9998927154482091	0.9998765901959134	-1.0000029825710253	-1.0
