x	u	e	f	v
1.	1.0	1.0	-1.0000453613766191	-1.0
0.99	0.9999952250249852	0.9999952250309231	-1.0000453596045742	-1.0
0.995	0.9999976721996802	0.9999976721901433	-1.0000454223928388	-1.0
0.98	0.9999899478615382	0.9999899478739644	-1.00004535557009	-1.0
0.985	0.9999926524078045	0.9999926524031666	-1.0000454241648746	-1.0
0.97	0.9999841156940472	0.9999841157135638	-1.0000453507551001	-1.0
0.975	0.9999871046798862	0.999987104680585	-1.0000454264273224	-1.0
0.96	0.9999776701522362	0.9999776701794993	-1.000045345372595	-1.0
0.965	0.9999809734924141	0.9999809734989263	-1.0000454289798755	-1.0
0.95	0.9999705467269742	0.9999705467626999	-1.0000453394135262	-1.0
0.955	0.9999741974824208	0.9999741974952636	-1.0000454318098322	-1.0
0.94	0.9999626741246469	0.9999626741696158	-1.0000453328259318	-1.0
0.945	0.9999667088333394	0.9999667088530749	-1.0000454349389498	-1.0
0.93	0.9999539735536263	0.9999539736086894	-1.000045325545202	-1.0
0.935	0.999958432596274	0.9999584326235121	-1.000045438397425	-1.0
0.92	0.9999443579356979	0.9999443580017825	-1.000045317498699	-1.0
0.925	0.999949285939886	0.999949285975288	-1.0000454422196678	-1.0
0.91	0.9999337310345519	0.9999337311126696	-1.000045308605937	-1.0
0.915	0.999939177321389	0.9999391773656726	-1.000045446443916	-1.0
0.9	0.9999219864926185	0.9999219865838722	-1.0000452987779094	-1.0
0.905	0.9999280055703592	0.9999280056243038	-1.0000454511124413	-1.0
0.89	0.9999090067666077	0.9999090068721989	-1.0000452879162707	-1.0
0.895	0.9999156588761882	0.9999156589406386	-1.0000454562719545	-1.0
0.88	0.9998946619510948	0.9998946620723325	-1.0000452759122949	-1.0
0.885	0.999902013669045	0.9999020137449172	-1.0000454619740982	-1.0
0.87	0.9998788084783845	0.9998788086166946	-1.0000452626458478	-1.0
0.875	0.9998869333831484	0.9998869334714343	-1.0000454682759434	-1.0
0.86	0.9998612876816382	0.9998612878385725	-1.0000452479841588	-1.0
0.865	0.9998702670899705	0.9998702671917444	-1.0000454752405523	-1.0
0.85	0.9998419242068812	0.99984192438413	-1.0000452317804862	-1.0
0.855	0.999851847987694	0.9998518481041188	-1.00004548293764	-1.0
0.84	0.999820524258004	0.9998205244574067	-1.0000452138726574	-1.0
0.845	0.9998314917318034	0.9998314918641373	-1.0000454914442365	-1.0
0.83	0.9997968736571851	0.999796873880743	-1.0000451940814383	-1.0
0.835	0.9998089945901045	0.9998089947397084	-1.0000455008454792	-1.0
0.82	0.9997707357013277	0.9997707359512187	-1.0000451722087693	-1.0
0.825	0.9997841314037044	0.9997841315720494	-1.000045511235458	-1.0
0.81	0.9997418487930578	0.9997418490716495	-1.0000451480357135	-1.0
0.815	0.9997566533335459	0.9997566535222212	-1.0000455227181568	-1.0
0.8	0.9997099238225693	0.999709924132436	-1.0000451213203736	-1.0
0.805	0.9997262853699446	0.9997262855806659	-1.0000455354084936	-1.0
0.79	0.9996746412741153	0.9996746416180557	-1.0000450917953498	-1.0
0.795	0.9996927235801978	0.999692723814817	-1.0000455494334923	-1.0
0.78	0.9996356480281903	0.9996356484092461	-1.0000450591651628	-1.0
0.785	0.9996556320667267	0.9996556323272416	-1.0000455649335136	-1.0
0.77	0.9995925538273909	0.9995925542488673	-1.0000450231032154	-1.0
0.775	0.9996146396053003	0.999614639893865	-1.0000455820636933	-1.0
0.76	0.9995449273705912	0.9995449278360776	-1.000044983248613	-1.0
0.765	0.9995693359297009	0.9995693362486362	-1.000045600995466	-1.0
0.75	0.9994922919963365	0.9994922925097303	-1.0000449392024566	-1.0
0.755	0.9995192676256418	0.9995192679774464	-1.0000456219183074	-1.0
