x	u	e	f	v
1.	1.0	1.0	-1.0000463630173924	-1.0
0.99	0.9999952605650143	0.9999952250309231	-1.0000447175798006	-1.0
0.98	0.9999900222421352	0.9999899478739644	-1.000045163901542	-1.0
0.97	0.9999842325168476	0.9999841157135638	-1.0000450503094336	-1.0
0.96	0.999977833346793	0.9999776701794993	-1.0000450873773081	-1.0
0.95	0.9999707605798905	0.9999705467626999	-1.0000450847739575	-1.0
0.94	0.9999629433112089	0.9999626741696158	-1.0000450935719485	-1.0
0.93	0.9999543031721398	0.9999539736086894	-1.0000451001676347	-1.0
0.92	0.9999447535447479	0.9999443580017825	-1.000045108295859	-1.0
0.91	0.99993419869342	0.9999337311126696	-1.0000451170550764	-1.0
0.9	0.9999225328051102	0.9999219865838722	-1.0000451267965025	-1.0
0.89	0.9999096389285573	0.9999090068721989	-1.0000451375472132	-1.0
0.88	0.9998953878018411	0.9998946620723325	-1.0000451494339007	-1.0
0.87	0.9998796365565229	0.9998788086166946	-1.000045162570663	-1.0
0.86	0.9998622272853815	0.9998612878385725	-1.0000451770905483	-1.0
0.85	0.9998429854593834	0.99984192438413	-1.0000451931387602	-1.0
0.84	0.999821718178017	0.9998205244574067	-1.00004521087628	-1.0
0.83	0.9997982122354543	0.999796873880743	-1.0000452304809	-1.0
0.82	0.9997722319831481	0.9997707359512187	-1.0000452521491674	-1.0
0.81	0.9997435169674415	0.9997418490716495	-1.0000452760983034	-1.0
0.8	0.9997117793185025	0.999709924132436	-1.0000453025684044	-1.0
0.79	0.9996767008644118	0.9996746416180557	-1.0000453318248308	-1.0
0.78	0.9996379299414697	0.9996356484092461	-1.0000453641608775	-1.0
0.77	0.9995950778687442	0.9995925542488673	-1.000045399900722	-1.0
0.76	0.9995477150515213	0.9995449278360776	-1.000045439402655	-1.0
0.75	0.9994953666745906	0.9994922925097303	-1.000045483062687	-1.0
0.74	0.9994375079421934	0.9994341214777878	-1.0000455313185097	-1.0
0.73	0.9993735588169126	0.9993698325450104	-1.0000455846538938	-1.0
0.72	0.9993028782047597	0.9992987822861508	-1.0000456436035303	-1.0
0.71	0.9992247575281699	0.9992202596063374	-1.000045708758389	-1.0
0.7	0.9991384136224651	0.9991334786241984	-1.000045780771657	-1.0
0.69	0.9990429808845809	0.9990375708064961	-1.0000458603652662	-1.0
0.68	0.9989375025953404	0.9989315762755556	-1.0000459483371484	-1.0
0.67	0.9988209213282855	0.9988144342024852	-1.0000460455692302	-1.0
0.66	0.9986920683489088	0.9986849721900444	-1.000046153036271	-1.0
0.65	0.9985496518980187	0.9985418945388994	-1.0000462718156287	-1.0
0.64	0.9983922442417719	0.9983837692798273	-1.0000464030980771	-1.0
0.63	0.9982182673585517	0.9982090138420878	-1.0000465481997316	-1.0
0.62	0.998025977119203	0.9980158792145225	-1.0000467085752438	-1.0
0.61	0.9978134458020282	0.9978024324408639	-1.0000468858323892	-1.0
0.6	0.9975785427672561	0.9975665372740593	-1.0000470817481812	-1.0
0.59	0.9973189130972447	0.9973058327959923	-1.0000472982866888	-1.0
0.58	0.9970319539882848	0.9970177097886205	-1.0000475376187221	-1.0
0.57	0.9967147886573292	0.9966992846200449	-1.0000478021436017	-1.0
0.56	0.9963642375020625	0.9963473703841516	-1.000048094513205	-1.0
0.55	0.9959767862251889	0.9959584450049855	-1.0000484176585542	-1.0
0.54	0.9955485506033814	0.9955286159866297	-1.0000487748192077	-1.0
0.53	0.9950752375476993	0.9950535814557978	-1.0000491695757163	-1.0
0.52	0.9945521020651036	0.9945285871072407	-1.0000496058855433	-1.0
0.51	0.9939738996896029	0.9939483786210613	-1.0000500881227206	-1.0
0.5	0.993334833906155	0.9933071490757152	-1.0000506211217046	-1.0
0.49	0.9926284980402388	0.9925984808303877	-1.0000512102258468	-1.0
0.48	0.9918478110305419	0.9918152812950881	-1.0000518613409521	-1.0
0.47	0.9909849464408769	0.9909497119456248	-1.0000525809944862	-1.0
0.46	0.9900312539996685	0.98999310987302	-1.0000533764010222	-1.0
