x	u	e	f	v
1.	1.0	1.0	-1.0000358732809118	-1.0
0.9	0.9999210144573387	0.9999219865838722	-1.0000286343000764	-1.0
0.95	0.999970380421502	0.9999705467626999	-1.0000511757093724	-1.0
0.8	0.9997066251272594	0.999709924132436	-1.000000528732123	-1.0
0.85	0.9998406184585586	0.99984192438413	-1.0000584146902076	-1.0
0.7	0.9991247112313303	0.9991334786241984	-0.999922955697462	-1.0
0.75	0.9994884074162858	0.9994922925097303	-1.0000792812773225	-1.0
0.6	0.9975452306566662	0.9975665372740593	-0.9997131382648746	-1.0
0.65	0.9985324060158309	0.9985418945388994	-1.0001359877248681	-1.0
0.5	0.9932580690968655	0.9933071490757152	-0.9991493479813315	-1.0
0.55	0.9959375450717407	0.9959584450049855	-1.0002890987099071	-1.0
0.4	0.981621487720266	0.9817289315358033	-0.9976526071796518	-1.0
0.45	0.9888943510806406	0.9889359010822065	-1.0006997780084086	-1.0
0.3	0.9500364811266401	0.9502560731911153	-0.9937855934920891	-1.0
0.35	0.9697771102476561	0.9698466475473606	-1.0017858395115842	-1.0
0.2	0.8643057489439415	0.8647039742630842	-0.9844292773027489	-1.0
0.25	0.917887456558128	0.9179566765447413	-1.004566791695969	-1.0
0.1	0.6316080473051878	0.6321492583604866	-0.9656771763617886	-1.0
0.15	0.7770441108294087	0.7769051112890548	-1.0111421557009246	-1.0
0.	-0.0	-0.0	-0.9535004394257844	-1.0
0.05	0.3947550295657424	0.3934872045788169	-1.023318892636929	-1.0
