x	u	e	f	v
1.	1.0	1.0	-1.0000000000000004	-1.0
0.99	0.9999999999999999	1.0	-0.9999999999999998	-1.0
0.98	0.9999999999999998	1.0	-0.9999999999999998	-1.0
0.97	0.9999999999999997	1.0	-0.9999999999999998	-1.0
0.96	0.9999999999999996	1.0	-0.9999999999999998	-1.0
0.95	0.9999999999999994	1.0	-0.9999999999999998	-1.0
0.94	0.9999999999999989	1.0	-0.9999999999999997	-1.0
0.93	0.9999999999999987	1.0	-0.999999999999999	-1.0
0.92	0.9999999999999986	1.0	-0.9999999999999987	-1.0
0.91	0.9999999999999984	1.0	-0.9999999999999988	-1.0
0.9	0.9999999999999983	1.0	-0.9999999999999984	-1.0
0.89	0.9999999999999982	1.0	-0.9999999999999982	-1.0
0.88	0.9999999999999981	1.0	-0.9999999999999984	-1.0
0.87	0.999999999999998	1.0	-0.9999999999999979	-1.0
0.86	0.9999999999999979	1.0	-0.9999999999999981	-1.0
0.85	0.9999999999999978	1.0	-0.9999999999999984	-1.0
0.84	0.9999999999999977	1.0	-0.9999999999999976	-1.0
0.83	0.9999999999999976	1.0	-0.9999999999999982	-1.0
0.82	0.9999999999999971	1.0	-0.9999999999999974	-1.0
0.81	0.9999999999999969	1.0	-0.9999999999999972	-1.0
0.8	0.9999999999999968	1.0	-0.9999999999999969	-1.0
0.79	0.9999999999999967	1.0	-0.999999999999997	-1.0
0.78	0.9999999999999966	1.0	-0.9999999999999966	-1.0
0.77	0.9999999999999964	1.0	-0.9999999999999967	-1.0
0.76	0.9999999999999963	1.0	-0.9999999999999966	-1.0
0.75	0.9999999999999962	1.0	-0.9999999999999962	-1.0
0.74	0.9999999999999961	1.0	-0.9999999999999963	-1.0
0.73	0.999999999999996	1.0	-0.9999999999999963	-1.0
0.72	0.9999999999999959	1.0	-0.9999999999999963	-1.0
0.71	0.9999999999999958	1.0	-0.9999999999999957	-1.0
0.7	0.9999999999999957	1.0	-0.9999999999999966	-1.0
0.69	0.9999999999999951	1.0	-0.9999999999999951	-1.0
0.68	0.999999999999995	1.0	-0.9999999999999951	-1.0
