x	u	e	f	v
1.	1.0	1.0	-1.0000452296577815	-1.0
0.9801	0.9999900032502548	0.9999900033003637	-1.000045215876393	-1.0
0.99005	0.999995250294277	0.9999952501131321	-1.0000454886629655	-1.0
0.9604	0.9999779404591009	0.9999779405656126	-1.0000451833498398	-1.0
0.97025	0.99998426890091	0.9999842687378974	-1.000045502514307	-1.0
0.9409	0.999963415209758	0.9999634153795605	-1.000045142279971	-1.0
0.95065	0.9999710318873819	0.9999710317437879	-1.0000455212149746	-1.0
0.9216	0.9999459616000825	0.999945961840684	-1.000045093590173	-1.0
0.93125	0.9999551094732533	0.9999551093502951	-1.0000455436041562	-1.0
0.9025	0.999925033401581	0.9999250337211314	-1.0000450364915192	-1.0
0.91205	0.999935997161571	0.9999359970603569	-1.0000455699264468	-1.0
0.8836	0.9998999917843084	0.9998999921916173	-1.000044969775693	-1.0
0.89305	0.9999131042011526	0.9999131041226361	-1.0000456007278427	-1.0
0.8649	0.9998700914648052	0.9998700919693486	-1.0000448920257508	-1.0
0.87425	0.9998857405445251	0.9998857404894471	-1.0000456366713608	-1.0
0.8464	0.9998344651282851	0.9998344657402078	-1.0000448016396102	-1.0
0.85565	0.9998531021555769	0.9998531021244024	-1.000045678511544	-1.0
0.8281	0.9997921059717502	0.9997921067018604	-1.0000446968209311	-1.0
0.83725	0.9998142545157233	0.9998142545085685	-1.000045727096582	-1.0
0.81	0.9997418482118956	0.9997418490716495	-1.0000445755639658	-1.0
0.81905	0.9997681141736393	0.9997681141901936	-1.000045783375379	-1.0
0.7921	0.9996823454010252	0.9996823464025023	-1.0000444356373923	-1.0
0.80105	0.9997134281818534	0.9997134282212908	-1.0000458484055776	-1.0
0.7744	0.9996120463961704	0.9996120475520337	-1.0000442745679246	-1.0
0.78325	0.9996487512640801	0.9996487513249637	-1.000045923361757	-1.0
0.7569	0.9995291688316806	0.9995291701551273	-1.0000440896242537	-1.0
0.76565	0.9995724205606487	0.9995724206408274	-1.0000460095436052	-1.0
0.7396	0.9994316699542671	0.9994316714589639	-1.000043877801648	-1.0
0.74825	0.9994825278061978	0.999482527902696	-1.000046108383815	-1.0
0.7225	0.9993172146923448	0.9993172163923453	-1.0000436358075515	-1.0
0.73105	0.9993768888045292	0.999376888913429	-1.0000462214555679	-1.0
0.7056	0.999183140849107	0.9991831427587566	-1.000043360048643	-1.0
0.71405	0.9992530100806639	0.9992530101969821	-1.0000463504794708	-1.0
0.6889	0.9990264213316661	0.9990264234654931	-1.0000430466198278	-1.0
0.69725	0.999108052610313	0.9991080527278776	-1.000046497329597	-1.0
0.6724	0.9988436233573135	0.9988436257299008	-1.0000426912955458	-1.0
0.68065	0.9989387925527107	0.9989387926640358	-1.0000466640384464	-1.0
0.6561	0.9986308646130461	0.9986308672388879	-1.00004228952426	-1.0
0.66425	0.998741578944594	0.998741579040754	-1.0000468528005866	-1.0
0.64	0.9983837663864836	0.9983837692798273	-1.000041836426428	-1.0
0.64805	0.9985122883515744	0.9985122884220822	-1.0000470659746235	-1.0
0.6241	0.9980974037355723	0.9980974069102447	-1.0000413267967552	-1.0
0.63205	0.9982462765187144	0.9982462765514082	-1.0000473060832062	-1.0
0.6084	0.9977662528213943	0.9977662562906141	-1.0000407551114345	-1.0
0.61625	0.9979383271151739	0.9979383270961099	-1.000047575810746	-1.0
0.5929	0.9973841355932449	0.9973841393694243	-1.0000401155409149	-1.0
0.60065	0.9975825977286148	0.9975825976419779	-1.0000478779984932	-1.0
0.5776	0.9969441620880145	0.9969441661825496	-1.0000394019691632	-1.0
0.58525	0.9971725633339175	0.9971725631619458	-1.0000482156366086	-1.0
0.5625	0.9964386706867916	0.996438675109847	-1.0000386080197383	-1.0
0.57005	0.9967009575376014	0.9967009572605353	-1.0000485918529163	-1.0
0.5476	0.9958591667603041	0.9958591715205897	-1.0000377270898118	-1.0
0.55505	0.9961597119841785	0.9961597115802324	-1.0000490098979111	-1.0
0.5329	0.9951962602308936	0.9951962653354424	-1.0000367523924436	-1.0
0.54025	0.9955398944030766	0.9955398938484395	-1.0000494731257976	-1.0
0.5184	0.9944396026815897	0.9944396081355367	-1.000035677007834	-1.0
0.52565	0.9948316458743226	0.9948316451431956	-1.0000499849711395	-1.0
0.5041	0.9935778247515848	0.9935778305579542	-1.0000344939439814	-1.0
0.51125	0.9940241179970858	0.9940241170617563	-1.000050548920935	-1.0
0.49	0.9925984746708864	0.9925984808303877	-1.0000331962073192	-1.0
0.49705	0.9931054107564076	0.9931054095873644	-1.0000511684817792	-1.0
0.4761	0.9914879589036744	0.9914879654145122	-1.000031776883453	-1.0
0.48305	0.9920625119987356	0.9920625105648283	-1.0000518471420508	-1.0
0.4624	0.990231485988197	0.9902314928459043	-1.000030229228125	-1.0
0.46925	0.9908812395446132	0.9908812378132601	-1.0000525883289872	-1.0
0.4489	0.9888130147788621	0.9888130219761548	-1.0000285467685217	-1.0
0.45565	0.9895461870851868	0.9895461850226314	-1.0000533953605157	-1.0
0.4356	0.9872152084111284	0.9872152159377897	-1.0000267234145175	-1.0
0.44225	0.9880406751258585	0.9880406726974746	-1.0000542713920813	-1.0
0.4225	0.9854193954193039	0.9854194032621004	-1.00002475357951	-1.0
0.42905	0.9863467083529571	0.9863467055236058	-1.0000552193585042	-1.0
0.4096	0.9834055395384296	0.9834055476810691	-1.0000226323099501	-1.0
0.41605	0.9844449409049455	0.9844449376393815	-1.0000562419112924	-1.0
0.3969	0.981152219810972	0.9811522282340985	-1.0000203554228448	-1.0
0.40325	0.982314651125374	0.9823146473886981	-1.0000573413516392	-1.0
0.3844	0.9786366226936087	0.9786366313748431	-1.0000179196497287	-1.0
0.39065	0.9799337274572489	0.9799337232154055	-1.0000585195598821	-1.0
0.3721	0.9758345479155222	0.9758345568295484	-1.0000153227857673	-1.0
0.37825	0.9772786672042785	0.9772786624245885	-1.0000597779219846	-1.0
0.36	0.9727204298736172	0.9727204389923163	-1.0000125638419346	-1.0
0.36605	0.9743245899299534	0.974324584581681	-1.0000611172539025	-1.0
0.3481	0.9692673763583056	0.9692673856509391	-1.0000096431982923	-1.0
0.35405	0.9710452672870016	0.9710452613419437	-1.0000625377249497	-1.0
0.3364	0.9654472263823622	0.9654472358158034	-1.0000065627558625	-1.0
0.34225	0.9674131710637321	0.9674131644968235	-1.0000640387810995	-1.0
0.3249	0.9612306288313329	0.961230638370346	-1.0000033260843064	-1.0
0.33065	0.9633995411966433	0.9633995339865665	-1.0000656190697406	-1.0
0.3136	0.956587143563901	0.9565871531714635	-0.9999999385627254	-1.0
0.31925	0.9589744754270194	0.9589744675568058	-1.000067276367138	-1.0
0.3025	0.9514853664615667	0.951485376099235	-0.9999964075098959	-1.0
0.30805	0.9541070421700284	0.9541070336276432	-1.0000690075102405	-1.0
0.2916	0.9458930797565874	0.9458930893848967	-0.9999927423012056	-1.0
0.29705	0.948765418015432	0.9487654087943221	-1.0000708083344245	-1.0
0.2809	0.9397774287534975	0.9397774383323939	-0.9999889544683397	-1.0
0.28625	0.9429170510872088	0.9429170411868064	-1.0000726736189114	-1.0
0.2704	0.9331051258015565	0.933105135290853	-0.9999850577781724	-1.0
0.27565	0.9365288512537708	0.9365288406799382	-1.0000745970416351	-1.0
0.2601	0.9258426820727828	0.9258426914326294	-0.999981068287772	-1.0
0.26525	0.9295674079001774	0.9295673966655714	-1.0000765711453252	-1.0
0.25	0.9179566673533764	0.9179566765447413	-0.9999770043713628	-1.0
0.25505	0.9219992356489121	0.921999223773266	-1.00007858731665	-1.0
0.2401	0.9094139976668941	0.9094140066520431	-0.9999728867164165	-1.0
0.24505	0.9137910480475054	0.9137910355578104	-1.0000806357800058	-1.0
0.2304	0.9001822501180584	0.9001822588610225	-0.9999687382856067	-1.0
0.23525	0.9049100588315057	0.9049100457620783	-1.0000827056076664	-1.0
0.2209	0.8902300038803673	0.8902300123473939	-0.9999645842418533	-1.0
0.22565	0.8953243099232854	0.8953242963157175	-1.0000847847478282	-1.0
0.2116	0.8795272057536121	0.8795272139135865	-0.9999604518340589	-1.0
0.21625	0.8850030248452131	0.8850030107481951	-1.0000868600716277	-1.0
0.2025	0.8680455581950671	0.8680455660198977	-0.9999563702419442	-1.0
0.20705	0.8739169857153178	0.8739169711843296	-1.0000889174404042	-1.0
0.1936	0.8557589271877813	0.8557589346527387	-0.9999523703785403	-1.0
0.19805	0.8620389314613802	0.8620389165582484	-1.0000909417938346	-1.0
0.1849	0.8426437667594066	0.8426437738434102	-0.9999484846498086	-1.0
0.18925	0.8493439743432524	0.8493439591355768	-1.000092917259469	-1.0
0.1764	0.8286795564147578	0.828679563100603	-0.9999447466718976	-1.0
0.18065	0.8358100313219938	0.8358100158824452	-1.0000948272836805	-1.0
0.1681	0.8138492472051224	0.8138492534796411	-0.9999411909467619	-1.0
0.17225	0.8214182662679899	0.8214182506734862	-1.000096654783735	-1.0
0.16	0.7981397116383026	0.7981397174924595	-0.9999378524982742	-1.0
0.16405	0.8061535384693264	0.8061535228001019	-1.0000983823203597	-1.0
0.1521	0.7815421921471979	0.7815421975761132	-0.9999347664716971	-1.0
0.15605	0.7900048523977248	0.790004836736304	-1.0000999922892952	-1.0
0.1444	0.7640527423934055	0.7640527473963081	-0.99993196770021	-1.0
0.14825	0.772965803224182	0.772965787654275	-1.0001014671305355	-1.0
0.1369	0.7456726552980786	0.7456726598781896	-0.9999294902433409	-1.0
0.14065	0.7550350121622608	0.7550349967676032	-1.0001027895528667	-1.0
0.1296	0.7264088713771728	0.7264088755415203	-0.9999273669027887	-1.0
0.13325	0.7362165453659038	0.736216530229059	-1.0001039427711835	-1.0
0.1225	0.7062743607238369	0.7062743644830077	-0.9999256287224227	-1.0
0.12605	0.716520309832553	0.7165202950337028	-1.0001049107535753	-1.0
0.1156	0.6852884718380202	0.6852884752058594	-0.999924304479354	-1.0
0.11905	0.6959624195725685	0.6959624051883212	-1.0001056784747655	-1.0
0.1089	0.6634772404622564	0.6634772434555148	-0.9999234201743504	-1.0
0.11225	0.6745655252129102	0.6745655113151501	-1.0001062321717873	-1.0
0.1024	0.6408736516515439	0.6408736542894868	-0.9999229985301163	-1.0
0.10565	0.652359100215987	0.6523590868707897	-1.000106559598164	-1.0
0.0961	0.6175178484912894	0.6175178507952728	-0.9999230585064158	-1.0
0.09925	0.6293796770213036	0.6293796642879458	-1.0001066502717826	-1.0
0.09	0.5934572811853454	0.5934572831783741	-0.9999236148412795	-1.0
0.09305	0.6056710266640251	0.6056710145941114	-1.0001064957121928	-1.0
0.0841	0.5687467906691726	0.5687467923754479	-0.9999246776278523	-1.0
0.08705	0.5812842757948156	0.5812842644315455	-1.0001060896623275	-1.0
0.0784	0.5434486214615272	0.5434486229059948	-0.9999262519360733	-1.0
0.08125	0.5562779555209543	0.556277944898547	-1.0001054282901665	-1.0
0.0729	0.5176323591497676	0.5176323603576771	-0.9999283374881912	-1.0
0.07565	0.5307179771090406	0.5307179672523351	-1.000104510365591	-1.0
0.0676	0.4913747887041389	0.4913747897006258	-0.9999309283969038	-1.0
0.07025	0.5046775303311555	0.5046775212553954	-1.0001033374081219	-1.0
0.0625	0.4647596707277569	0.46475967153745396	-0.9999340129736255	-1.0
0.06505	0.47823690109304734	0.47823689280386006	-1.0001019138012557	-1.0
0.0576	0.4378774337612565	0.43787743440794424	-0.999937573614114	-1.0
0.06005	0.45148320594592645	0.4514831984394963	-1.0001002468698215	-1.0
0.0529	0.4108247818613182	0.4108247823676205	-0.9999415867672032	-1.0
0.05525	0.4245100421411995	0.42451003540463284	-1.0000983469170552	-1.0
0.0484	0.3837042178451412	0.38370421823226764	-0.9999460229911532	-1.0
0.05065	0.39741705302582064	0.3974170470376942	-1.0000962272186944	-1.0
0.0441	0.3566234838206283	0.35662348410817396	-0.9999508471009692	-1.0
0.04625	0.37030940977826643	0.3703094045093451	-1.0000939039724384	-1.0
0.04	0.32969492188486976	0.32969492209066675	-0.9999560184080273	-1.0
0.04205	0.3432972117326698	0.34329720714677714	-1.0000913962010936	-1.0
0.0361	0.3030347591498904	0.30303475928991463	-0.9999614910520408	-1.0
0.03805	0.31649480881071307	0.31649480486573056	-1.0000887256094488	-1.0
0.0324	0.27676232252183436	0.2767623226101649	-0.999967214423575	-1.0
0.03425	0.2900200508552671	0.2900200475042352	-1.0000859163951878	-1.0
0.0289	0.2509991898940964	0.2509991899429245	-0.9999731336733211	-1.0
0.03065	0.26399346991321165	0.2639934671055043	-1.0000829950151622	-1.0
0.0256	0.22586828559237163	0.22586828561205397	-0.999979190302933	-1.0
0.02725	0.23853740272347862	0.23853740040601895	-1.0000799899094053	-1.0
0.0225	0.20149292900629617	0.20149292900544744	-0.999985322830031	-1.0
0.02405	0.21377506180610495	0.21377505992458884	-1.0000769311859086	-1.0
0.0196	0.17799584633511803	0.17799584632073445	-0.9999914675188608	-1.0
0.02105	0.18982956459539008	0.18982956309548374	-1.0000738502702389	-1.0
0.0169	0.15549815624172836	0.15549815621933621	-0.9999975591661605	-1.0
0.01825	0.16682293099248835	0.16682292982096616	-1.0000707795247843	-1.0
0.0144	0.13411834093023067	0.13411834090405192	-1.000003531930511	-1.0
0.01565	0.1448750605088279	0.144875059614621	-1.000067751843122	-1.0
0.0121	0.11397121471913982	0.11397121469226641	-1.0000093201925222	-1.0
0.01325	0.12410270081254209	0.1241027001476668	-1.0000648002256627	-1.0
0.01	0.09516690256016087	0.09516690253473127	-1.000014859431954	-1.0
0.01105	0.10461841995906765	0.10461841947941024	-1.0000619573432397	-1.0
0.0081	0.07780984113934256	0.07780984111671348	-1.0000200871074598	-1.0
0.00905	0.08652959487062616	0.08652959453656144	-1.0000592550957883	-1.0
0.0064	0.06199781518481725	0.06199781516572449	-1.0000249435241082	-1.0
0.00725	0.06993742871723325	0.06993742849406287	-1.0000567241733151	-1.0
0.0049	0.047821041388710565	0.04782104137341464	-1.000029372674005	-1.0
0.00565	0.05493600973763161	0.05493600959583034	-1.0000543936267827	-1.0
0.0036	0.0353613119295411	0.0353613119179543	-1.0000333230355527	-1.0
0.00425	0.041611423719496984	0.04161142363476336	-1.000052290456108	-1.0
0.0025	0.024691208959027433	0.024691208950819502	-1.0000367483199915	-1.0
0.00305	0.03004093183586872	0.030040931788982723	-1.0000504392222322	-1.0
0.0016	0.015873400601305182	0.015873400595987013	-1.0000396081688032	-1.0
0.00205	0.02029222481456874	0.02029222479106238	-1.0000488616877121	-1.0
0.0009	0.008960028014771606	0.008960028011758759	-1.0000418689079327	-1.0
0.00125	0.01242276350905161	0.012422763498708855	-1.0000475764753218	-1.0
0.0004	0.003992191902584572	0.00399219190124043	-1.0000435052326864	-1.0
0.00065	0.0064792148562482065	0.006479214852451533	-1.0000465986250988	-1.0
0.0001	0.0009995455462592081	0.0009995455459225573	-1.0000445106955616	-1.0
0.00025	0.0024969909668055117	0.002496990965754378	-1.000045937959115	-1.0
