x	u	e	f	v
1.	1.0	1.0	-0.9999601641977611	-1.0
0.81	0.9997322076539986	0.9997418490716495	-0.9998663982592816	-1.0
0.905	0.9999297045091744	0.9999280056243038	-1.0000940893337948	-1.0
0.64	0.9983523152568121	0.9983837692798273	-0.9994720801453775	-1.0
0.725	0.9993354885898071	0.9993351953588359	-1.0001933709157134	-1.0
0.49	0.9925335757197711	0.9925984808303877	-0.9984595353820912	-1.0
0.565	0.9965339591514867	0.9965277255138326	-1.0005021931968265	-1.0
0.36	0.9726273615141048	0.9727204389923163	-0.9964338574132094	-1.0
0.425	0.9858152284253586	0.9857805204573907	-1.0012392620625519	-1.0
0.25	0.9178661608149598	0.9179566765447413	-0.9933995041843231	-1.0
0.305	0.9527764262606646	0.9526843274104093	-1.0025875835102254	-1.0
0.16	0.7980848521086586	0.7981397174924595	-0.9903733077192082	-1.0
0.205	0.871450903691268	0.87130465358227	-1.0043361075775306	-1.0
0.09	0.5934403886212948	0.5934572831783741	-0.9892245696525034	-1.0
0.125	0.713669010920121	0.7135275972426083	-1.0055964732816223	-1.0
0.04	0.3296939719723295	0.32969492209066675	-0.9910610525302552	-1.0
0.065	0.47805133133737243	0.4779759233123305	-1.0052734652611437	-1.0
0.01	0.09516727495211255	0.09516690253473127	-0.9945415317795061	-1.0
0.025	0.2212253746004791	0.22120925981345346	-1.0033272783448848	-1.0
0.	-0.0	-0.0	-0.9976847685912897	-1.0
0.005	0.04877322841295767	0.04877278978051634	-1.001231787137029	-1.0
