x	u	e	f	v
1.	1.0	1.0	-1.000003687011392	-1.0
0.81	0.9999490684497462	0.9997418490716495	-1.0000221126642055	-1.0
0.64	0.999356654102057	0.9983837692798273	-1.0001784858832798	-1.0
0.49	0.9954885368906753	0.9925984808303877	-1.0008203342992144	-1.0
0.36	0.9787266956413547	0.9727204389923163	-1.0024182819663194	-1.0
0.25	0.9267220086883341	0.9179566765447413	-1.0045844028847832	-1.0
0.16	0.8068103751355019	0.7981397174924595	-1.0048533082180608	-1.0
0.09	0.5987585664925535	0.5934572831783741	-0.9988682607016254	-1.0
0.04	0.3312633839516202	0.32969492209066675	-0.9867586925357843	-1.0
0.01	0.09523822288609081	0.09516690253473127	-0.9676171894867244	-1.0
0.	-0.0	-0.0	-0.9923838599910454	-1.0
